3I/ATLAS — Anomalies Organized by Likelihood,,,,,,,
"Source: Avi Loeb, Medium — Nov 23, 2025  ·  Updated with new findings through Mar 2026  ·  Sorted chronologically by date first noted  ·  Loeb Scale: 3/10",,,,,,,skip
,,,,,,,
#,Date First Noted,Category,Anomaly,Probability,Explanation,Consensus / Note,
1,Jul 01 2025,I — Major (no simple explanation),Retrograde orbit aligned within 5° of ecliptic plane,P = 0.002,Travels opposite to all planets yet nearly perfectly level with the flat plane they orbit in. A random interstellar object would be extremely unlikely to share this alignment.,No natural explanation currently. Listed in original Nov 2025 Loeb paper.,
2,Jul 01 2025,I — Major (no simple explanation),"Arrival timing fine-tuned past Mars, Venus & Jupiter",P = 0.00005,Path timed to pass within tens of millions of km from three planets while remaining hidden from Earth at perihelion. No natural explanation for this coincidence.,No natural explanation currently. Listed in original Nov 2025 Loeb paper.,
3,Jul 01 2025,I — Major (no simple explanation),"Mass ~1,000,000× larger than ʻOumuamua",P < 0.001,"Hubble confirmed nucleus ~2.6 km diameter (Feb 2026) — at least 20,000× more massive than ʻOumuamua. Not enough rocky material in interstellar space to deliver an object this large by chance once per decade.",No natural explanation currently. Listed in original Nov 2025 Loeb paper.,
4,Jul 01 2025,I — Major (no simple explanation),"Sunward jet (anti-tail) — physically real, not perspective",P < 0.001,Persistent jet pointing toward the Sun — opposite of what solar radiation causes. Confirmed by NASA's HiRISE at Mars closest approach. Pre-perihelion Hubble image shows jet ~10× longer than wide. Could be a particle shield against micrometeorite impacts at 60 km/s.,No natural explanation currently. Listed in original Nov 2025 Loeb paper.,
5,"Sep 28, 2025",II — Medium (possible fluke),"Arrival direction aligns with the ""Wow! Signal"" within 9°",P = 0.006,3I/ATLAS arrived from near Sagittarius — coinciding with the direction of the famous 1977 unexplained radio signal. Could be coincidence. No confirmed link.,Could be statistical coincidence. Listed in original Nov 2025 Loeb paper.,TRUE
6,2025-09-14,II — Medium (possible fluke),Extreme negative polarization — unprecedented for any comet,P < 0.01,Light reflected from 3I/ATLAS is polarized in a way never seen in any known comet. May relate to the unusual anti-tail or surface composition. No standard explanation.,Could be statistical coincidence. Listed in original Nov 2025 Loeb paper.,
7,2025-09-14,I — Major (no simple explanation),Nickel/iron ratio matches industrial alloys; anomalous cyanide ratio,P < 0.001,Gas plume has far more nickel than iron — matching industrially produced alloys — and a nickel-to-cyanide ratio orders of magnitude higher than any known comet including 2I/Borisov. May indicate artificial material composition.,No natural explanation currently. Listed in original Nov 2025 Loeb paper.,
8,Aug–Sep 2025,III — Minor (unique origin possible),Only 4% water in gas plume,P < 0.1,Typical solar system comets are mostly water ice. Could reflect ices accumulated during interstellar travel rather than a primordial composition.,Potentially explainable by unusual interstellar origin. Listed in original Nov 2025 Loeb paper.,TRUE
9,Sep–Oct 2025,III — Minor (unique origin possible),Brightened faster than any known comet; bluer than the Sun,P < 0.1,"Rapid brightening near perihelion with anomalous blue color; faded faster after perihelion, showing unusual asymmetry. Possible signature of an engine activating. No confirmed natural explanation.",Potentially explainable by unusual interstellar origin. Listed in original Nov 2025 Loeb paper.,TRUE
10,Oct 2025,III — Minor (unique origin possible),Non-gravitational acceleration without visible breakup,P < 0.1,"Accelerated beyond gravity near perihelion, yet subsequent images show the object intact — ruling out mass-loss as the cause. Could be propulsion.",Potentially explainable by unusual interstellar origin. Listed in original Nov 2025 Loeb paper.,
11,2025-11-13,III — Minor (unique origin possible),Jets require unreasonably large surface area for a natural comet,P < 0.1,The mass flux of the jets would need far more sunlight-absorbing area than a rock this size could provide. Jets could indicate technological thrusters.,Potentially explainable by unusual interstellar origin. Listed in original Nov 2025 Loeb paper.,
12,2026-03-16,I — Major (no simple explanation),Perijove matches Jupiter's Hill radius exactly,P = 0.00004,"The flyby distance to Jupiter on Mar 16, 2026 matches Jupiter's gravitational boundary almost exactly — enabled by 3I/ATLAS's own non-gravitational thrust near the Sun. Could indicate intentional deployment near Jupiter's Lagrange points.",No natural explanation currently. Listed in original Nov 2025 Loeb paper.,
13,"Nov 15, 2025",III — Minor (unique origin possible),Jets maintain pointing direction despite object's rotation,P < 0.1,Jets stay precisely aimed across a million kilometers even as the nucleus rotates — inconsistent with passive sublimation from a spinning surface. Could indicate controlled thrusters.,Potentially explainable by unusual interstellar origin. Listed in original Nov 2025 Loeb paper.,TRUE
